id,name,coordinates_x,coordinates_y,creation_date,annual_turnover,full_name,employees_count,type,address_street,location_x,location_y,location_z,location_name
31,Palantir,50,7.5,2020-07-07,1500000,Palantir Tech,2500,OPEN_JOINT_STOCK_COMPANY,Data Dr 1,4.0,4.5,5,Palo Alto
32,Blackwater,40,3.2,2019-02-20,900000,Blackwater Inc,750,TRUST,Secure Rd 5,1.0,2.0,3,North Carolina
33,Hyperion,35,2.9,2018-12-12,430000,Hyperion Corp,430,PUBLIC,Pandora St 3,3.2,1.1,2,Elpis
34,Dunder Mifflin,12,1.2,2017-04-04,120000,Dunder Mifflin Paper,120,OPEN_JOINT_STOCK_COMPANY,Scranton Ave 1725,1.0,1.5,2,Scranton
35,Sterling Cooper,8,2.6,2016-09-01,650000,Sterling Cooper Adv,200,TRUST,Mad Ave 405,2.0,2.6,8,New York
36,Vandelay Industries,16,4.2,2015-12-31,420000,Vandelay Latex,42,PUBLIC,Importer Exporter Rd 9,4.2,1.6,3,New York
37,Prestige Worldwide,7,1.1,2021-01-01,111111,Prestige Worldwide LLC,11,OPEN_JOINT_STOCK_COMPANY,Boats N Hoes Blvd 1,0.7,1.1,1,Los Angeles
38,Bluth Company,6,2.2,2022-02-02,222222,Bluth Company Inc,22,TRUST,Model Home 5,0.6,2.2,2,Orange County
39,Acme Widgets,5,3.3,2023-03-03,333333,Acme Widgets LLC,33,PUBLIC,Widget Way 7,0.5,3.3,3,Toon Town
40,Sandover Village,4,4.4,2024-04-04,444444,Sandover Village Council,44,OPEN_JOINT_STOCK_COMPANY,Harbor Rd 2,0.4,4.4,4,Sandover
41,Neo Tokyo Labs,3,5.5,2021-05-05,555555,Neo Tokyo Laboratories,55,TRUST,Akira Ave 28,0.3,5.5,5,Neo Tokyo
42,Shinra Electric,2,6.6,2020-06-06,6666666,Shinra Electric Power,666,PUBLIC,Midgar Plate 1,0.2,6.6,6,Midgar
43,Golden Saucer,1,7.7,2019-07-07,777777,Golden Saucer Park,77,OPEN_JOINT_STOCK_COMPANY,Amusement Rd 77,0.1,7.7,7,Corel
44,Mako Refinery,0,8.8,2018-08-08,8888888,Mako Refinery Inc,888,TRUST,Reactor St 3,0.0,8.8,8,Midgar
45,Shadaloo, -10,9.9,2017-09-09,999999,Shadaloo Org,99,PUBLIC,Shadow Rd 9,9.9,9.9,9,Unknown
46,Nova Prospekt, -20,1.11,2016-10-10,1111111,Nova Prospekt Prison,111,OPEN_JOINT_STOCK_COMPANY,Coast Rd 6,8.8,1.11,10,City 17
47,Blackwater Bay, -30,2.22,2015-11-11,2222222,Blackwater Bay Company,222,TRUST,Harbor St 1,7.7,2.22,11,King's Landing
48,Winterfell Holdings, -40,3.33,2014-12-12,3333333,House Stark Holdings,333,PUBLIC,North Rd 1,6.6,3.33,12,Winterfell
49,Meereen Trade, -50,4.44,2013-01-01,4444444,Meereen Trading Co,444,OPEN_JOINT_STOCK_COMPANY,Harpy Ave 2,5.5,4.44,13,Meereen
50,Qarth Merchants, -60,5.55,2012-02-02,5555555,Qarth Merchants Guild,555,TRUST,Thirteen St 13,4.4,5.55,14,Qarth 
